class,total_samples,different_predictions,difference_rate,ae_accuracy,as_accuracy,accuracy_diff,ae_only_correct,as_only_correct
airport,1030,303,0.2941747572815534,0.5611650485436893,0.5533980582524272,0.007766990291262155,130,122
bus,1045,146,0.1397129186602871,0.8545454545454545,0.8047846889952153,0.04976076555023923,86,34
metro,1050,236,0.22476190476190477,0.66,0.6876190476190476,-0.027619047619047543,90,119
metro_station,1078,280,0.2597402597402597,0.6289424860853432,0.6716141001855288,-0.042671614100185606,75,121
park,868,54,0.06221198156682028,0.9112903225806451,0.902073732718894,0.009216589861751112,28,20
public_square,709,201,0.2834978843441467,0.6558533145275035,0.538787023977433,0.11706629055007045,121,38
shopping_mall,1046,251,0.23996175908221798,0.7217973231357553,0.6854684512428298,0.03632887189292544,120,82
street_pedestrian,1056,366,0.3465909090909091,0.5454545454545454,0.5331439393939394,0.012310606060605966,157,144
street_traffic,1038,52,0.05009633911368015,0.896917148362235,0.9210019267822736,-0.024084778420038533,7,32
tram,1068,273,0.2556179775280899,0.601123595505618,0.598314606741573,0.002808988764045006,111,108
